path,file_size,compressed_size,status,reason
ACTUAL_NEGATIVE_UAT_EVIDENCE_BUNDLE_PLATFORM_DEVELOPMENT_10H_2026_05_24.md,1458,814,quarantine,loose_root_document_replaced_by_summary
ACTUAL_NEGATIVE_UAT_RESULT_INTAKE_PLATFORM_DEVELOPMENT_10I_2026_05_24.md,3597,1447,quarantine,loose_root_document_replaced_by_summary
AGGREGATED_BASELINE_README_2026_05_20.md,770,481,quarantine,loose_root_document_replaced_by_summary
APPLY_UPDATES_ONLY_README.md,427,309,quarantine,loose_root_document_replaced_by_summary
ARTIFACT_MANIFEST.md,547,324,quarantine,loose_root_document_replaced_by_summary
ARTIFACT_MANIFEST_ACCESS_ROLE_SEMANTICS_UNIT_ADMIN_SUPERUSER_LABEL_CORRECTION_2026_06_04.md,778,383,quarantine,historical_root_document
ARTIFACT_MANIFEST_DATABASE_OWNERSHIP_CLASSIFIER_AGGREGATE_HOTFIX_2026_05_26.md,1069,463,quarantine,historical_root_document
ARTIFACT_MANIFEST_DATABASE_OWNERSHIP_DEPENDENCY_REDUCTION_2026_05_26.md,814,354,quarantine,historical_root_document
ARTIFACT_MANIFEST_FONT_AWESOME_11_RUNTIME_COMPILE_LOCK_ALIGNMENT_HOTFIX_2026_06_01.md,2087,625,quarantine,historical_root_document
ARTIFACT_MANIFEST_FONTAWESOME11_CONST_ICONDATA_ANALYZER_HOTFIX_2026_05_31.md,1834,576,quarantine,historical_root_document
ARTIFACT_MANIFEST_HOME_HERO_RESPONSIVE_OVERFLOW_HOTFIX_2026_05_31.md,914,385,quarantine,historical_root_document
ARTIFACT_MANIFEST_MEDIA_CENTER_ANALYZER_RUNTIME_RESULT_INTAKE_AWQAF_ASSIST_BLOCKER_2026_05_31.md,856,383,quarantine,historical_root_document
ARTIFACT_MANIFEST_MEDIA_CENTER_RUNTIME_SOURCE_ROOT_CUTOVER_2026_05_31.md,1372,538,quarantine,historical_root_document
ARTIFACT_MANIFEST_MEDIA_CENTER_RUNTIME_SOURCE_ROOT_CUTOVER_BROWSER_UAT_RESULT_INTAKE_2026_05_31.md,2672,988,quarantine,historical_root_document
ARTIFACT_MANIFEST_MEDIA_CENTER_SCOPED_RUNTIME_CLOSURE_AWQAF_DEFERRAL_2026_05_31.md,1243,448,quarantine,historical_root_document
ARTIFACT_MANIFEST_PASSWORD_RECOVERY_AUTO_SESSION_USED_CODE_FALLBACK_HOTFIX_2026_06_04.md,707,387,quarantine,historical_root_document
ARTIFACT_MANIFEST_PASSWORD_RECOVERY_HASH_ROUTER_CODE_EXCHANGE_HOTFIX_2026_06_04.md,801,382,quarantine,historical_root_document
ARTIFACT_MANIFEST_PASSWORD_RECOVERY_PKCE_SAME_ORIGIN_INIT_HOTFIX_2026_06_04.md,765,370,quarantine,historical_root_document
ARTIFACT_MANIFEST_PASSWORD_RECOVERY_RESET_UPDATE_SESSION_SAME_PASSWORD_HOTFIX_2026_06_04.md,1034,475,quarantine,historical_root_document
ARTIFACT_MANIFEST_PASSWORD_RECOVERY_SUCCESS_SAME_TAB_URL_SANITIZER_2026_06_04.md,956,418,quarantine,historical_root_document
ARTIFACT_MANIFEST_PASSWORD_RECOVERY_SUPPLEMENT_RUNTIME_IMPLEMENTATION_2026_06_04.md,1089,404,quarantine,historical_root_document
ARTIFACT_MANIFEST_PASSWORD_RECOVERY_URL_SANITIZER_ANALYZER_LINT_CLOSURE_2026_06_04.md,643,335,quarantine,historical_root_document
ARTIFACT_MANIFEST_PLATFORM_ACCESS_GATEWAY_STAGING_CERTIFICATION_2026_06_04.md,683,369,quarantine,historical_root_document
ARTIFACT_MANIFEST_PLATFORM_ACCESS_GATEWAY_UAT_RETEST_RPC400_CLOSURE_2026_06_03.md,1370,516,quarantine,historical_root_document
ARTIFACT_MANIFEST_PLATFORM_ACCESS_GATEWAY_UAT_RPC400_SAFE_FALLBACK_2026_06_03.md,132,122,quarantine,historical_root_document
